,Open,High,Close
0,1063.9,1064.54,1006.94
1,1050.6,1059.27,1054.09
2,1051.37,1066.78,1026.55
3,1080.01,1083.92,1053.15
4,1092.57,1108.7,1094.0
5,1098.4,1105.55,1095.8
6,1117.76,1119.37,1100.07
7,1155.35,1156.81,1134.42
8,1149.57,1162.5,1150.61
9,1145.8,1159.76,1148.89
10,1171.83,1178.0,1139.91
11,1165.05,1178.16,1165.93
12,1139.5,1161.0,1160.84
13,1117.2,1131.44,1129.38
14,1092.82,1116.2,1115.04
15,1102.1,1105.63,1100.9
16,1078.13,1101.18,1094.76
17,1057.98,1086.89,1084.14
18,1109.54,1111.27,1071.41
19,1122.0,1127.65,1103.92
20,1143.7,1144.25,1117.51
21,1131.86,1144.2,1143.7
22,1118.66,1129.0,1128.09
23,1119.17,1125.46,1109.9
24,1109.1,1136.2,1113.75
25,1092.76,1116.29,1103.59
26,1093.38,1108.31,1095.5
27,1083.45,1094.1,1091.36
28,1054.32,1075.47,1072.7
29,1050.0,1061.22,1054.14
30,1056.67,1065.57,1054.56
31,1025.88,1051.72,1043.43
32,1059.87,1063.93,1005.6
33,1084.97,1086.53,1055.41
34,1033.98,1087.38,1084.43
35,1100.61,1114.99,1068.76
36,1127.42,1131.3,1119.2
37,1175.99,1187.45,1181.59
38,1183.81,1186.32,1182.22
39,1177.72,1187.93,1177.37
40,1188.0,1198.0,1186.48
41,1187.53,1187.56,1187.56
42,1180.71,1185.0,1182.14
43,1184.98,1187.05,1171.29
44,1170.62,1178.51,1176.17
45,1143.82,1166.88,1164.16
46,1138.03,1143.78,1143.5
47,1139.35,1140.59,1135.97
48,1136.36,1139.32,1139.1
49,1140.31,1148.88,1130.7
50,1110.1,1131.3,1130.65
51,1112.31,1114.85,1111.88
52,1107.0,1112.78,1110.14
53,1118.44,1118.44,1112.79
54,1111.0,1119.16,1114.21
55,1103.45,1113.58,1110.29
56,1097.09,1104.08,1095.76
57,1073.93,1096.1,1091.52
58,1053.02,1075.98,1073.21
59,1055.49,1058.05,1053.4
60,1062.25,1064.84,1055.95
61,1066.6,1068.27,1060.2
62,1068.64,1068.86,1065.85
63,1070.0,1071.72,1068.86
64,1075.39,1077.52,1070.85
65,1080.92,1081.23,1073.56
66,1083.02,1084.97,1079.78
67,1076.45,1086.49,1085.09
68,1063.78,1075.25,1072.0
69,1055.49,1067.08,1057.47
70,1052.08,1055.48,1051.39
71,1050.0,1062.5,1048.77
72,1051.11,1056.0,1051.97
73,1051.81,1056.42,1049.38
74,1036.07,1048.92,1044.57
75,1016.52,1039.58,1032.72
76,1010.99,1036.68,1019.6
77,1027.8,1031.34,1011.87
78,1030.41,1037.24,1025.07
79,1039.94,1044.14,1036.17
80,1056.18,1058.77,1037.38
81,1073.99,1080.0,1063.29
82,1058.57,1073.04,1072.01
83,1054.39,1060.07,1056.52
84,1051.16,1055.43,1051.92
85,1040.04,1050.39,1050.3
86,1036.0,1038.7,1034.66
87,1049.8,1051.0,1035.89
88,1038.75,1051.76,1048.47
89,1035.0,1039.63,1036.41
90,1037.72,1042.3,1041.64
91,1040.8,1048.74,1041.2
92,1043.87,1046.63,1044.15
